,h10, , ,h20, , ,h30, , ,h50, , 
 , ,avg loss,MCS p-value, ,avg loss,MCS p-value, ,avg loss,MCS p-value, ,avg loss,MCS p-value
LILAK,deepLOB_L1_seq2seq,3.3452740582552822,0.0,deepOF_L1_seq2seq,1.3039166168733076,0.03,deepLOB_L1_seq2seq,2.441878177902915,0.0,deepOF_L1_seq2seq,1.353357125412334,0.03
 ,deepOF_L1_seq2seq,1.477160172028975,0.0,deepOF_L2_seq2seq,1.1798815077001399,0.04,deepOF_L1_seq2seq,1.3588659384033897,0.13,deepLOB_L1_seq2seq,1.2774683237075806,0.04
 ,deepOF_L2_seq2seq,1.1948963512073865,0.0,deepLOB_L1_seq2seq,1.259922211820429,0.23,deepOF_L2_seq2seq,1.168627598068931,0.13,deepLOB_L2_seq2seq,1.1610321456735784,0.04
 ,deepLOB_L2_seq2seq,1.1723677461797541,0.0,deepLOB_L2,1.1361796747554431,0.23,deepLOB_L2_seq2seq,1.1658819697119973,0.13,deepLOB_L1,1.1299429156563499,0.04
 ,deepLOB_L1,1.1268560452894731,0.0,deepLOB_L2_seq2seq,1.1696241010319104,0.23,deepLOB_L2,1.126469373703003,0.13,deepOF_L2_seq2seq,1.1609424569390037,0.04
 ,deepLOB_L2,1.1123339262875644,0.0,deepLOB_L1,1.1189104860479182,0.23,deepLOB_L1,1.1320652853358875,0.13,deepVOL_L2,1.1228707053444602,0.04
 ,deepVOL_L2_seq2seq,1.1017030694267966,0.0,deepVOL_L2_seq2seq,1.1097729422829368,0.35,deepVOL_L2,1.114458214152943,0.3,deepLOB_L2,1.125538175756281,0.04
 ,deepVOL_L3_seq2seq,1.0955988818948919,0.13,deepVOL_L2,1.1087978753176602,0.36,deepVOL_L2_seq2seq,1.1145457029342651,0.43,deepVOL_L2_seq2seq,1.1189742630178279,0.16
 ,deepOF_L1,1.0990873683582654,0.13,deepVOL_L3,1.1054768779061057,0.56,deepVOL_L3,1.1101426102898337,0.43,deepVOL_L3,1.1138812195171008,0.16
 ,deepVOL_L2,1.091617996042425,0.13,deepOF_L1,1.1031725081530483,0.81,deepOF_L1,1.109637433832342,0.81,deepOF_L2,1.1144876263358376,0.16
 ,benchmark,1.0879232650028727,0.13,benchmark,1.0995916331434954,0.81,deepVOL_L3_seq2seq,1.1051828102632002,0.81,deepOF_L1,1.115218010815707,0.25
 ,deepVOL_L3,1.0870485630902378,0.13,deepVOL_L3_seq2seq,1.1020883971994573,0.81,deepOF_L2,1.1025120345028965,0.81,deepVOL_L3_seq2seq,1.108882416378368,0.25
 ,deepOF_L2,1.0483421737497503,1,deepOF_L2,1.0859789848327637,1,benchmark,1.0974911060737165,1,benchmark,1.0980170641860352,1
QRTEA,deepLOB_L1_seq2seq,3.853331695903431,0.0,deepLOB_L1_seq2seq,2.3001256639307197,0.0,deepLOB_L1_seq2seq,2.9433136744932695,0.0,deepOF_L1_seq2seq,2.7597805044867774,0.0
 ,deepOF_L1_seq2seq,4.013961011713201,0.0,deepOF_L1_seq2seq,3.459264039993286,0.0,deepOF_L1_seq2seq,3.1806027347391304,0.0,deepLOB_L2_seq2seq,1.4416984753175215,0.0
 ,deepOF_L2_seq2seq,1.4966615113345059,0.0,deepOF_L2_seq2seq,1.5315372618761929,0.0,deepLOB_L2_seq2seq,1.428000265901739,0.0,deepOF_L2_seq2seq,1.5693341493606567,0.0
 ,deepLOB_L2_seq2seq,1.3637101433493874,0.0,deepLOB_L2_seq2seq,1.3955627137964421,0.0,deepOF_L2_seq2seq,1.5627062862569636,0.0,deepLOB_L1_seq2seq,1.634597355669195,0.0
 ,deepLOB_L2,1.0294621207497336,0.0,deepLOB_L2,1.0393036712299695,0.0,deepLOB_L1,1.2000184926119717,0.0,deepLOB_L1,1.2399429407986728,0.0
 ,deepLOB_L1,1.162492112679915,0.0,deepLOB_L1,1.235596310008656,0.0,deepLOB_L2,1.0284527648578992,0.0,deepLOB_L2,1.0592891519719905,0.0
 ,deepVOL_L3_seq2seq,0.8943483125079762,0.03,deepVOL_L3_seq2seq,0.9216849587180398,0.0,deepVOL_L3_seq2seq,0.955751738765023,0.05,deepVOL_L3,1.0310186256061902,0.0
 ,deepVOL_L2_seq2seq,0.87458965995095,0.07,deepVOL_L3,0.8628134023059498,0.0,deepVOL_L3,0.9709605141119524,0.05,deepVOL_L3_seq2seq,1.0108769806948574,0.05
 ,deepVOL_L2,0.7930702621286566,0.07,deepOF_L1,0.8527656414292075,0.0,deepOF_L1,0.8913734175942161,0.1,deepVOL_L2,0.9885638843883168,0.05
 ,deepOF_L1,0.7904026779261503,0.07,deepVOL_L2_seq2seq,0.900067849592729,0.03,deepVOL_L2_seq2seq,0.9382971687750383,0.1,deepVOL_L2_seq2seq,1.0024540370160884,0.22
 ,deepVOL_L3,0.8009161678227511,0.07,benchmark,0.7888481216346096,0.11,benchmark,0.8698264235848341,0.1,benchmark,0.9737181960226539,0.22
 ,benchmark,0.6596630242467504,0.2,deepVOL_L2,0.7890451008623297,0.11,deepVOL_L2,0.855563841082833,0.1,deepOF_L1,0.9537067196585916,0.22
 ,deepOF_L2,0.6392177560112693,1,deepOF_L2,0.7210426438938488,1,deepOF_L2,0.7898151170123707,1,deepOF_L2,0.8840521357276223,1
XRAY,deepLOB_L1_seq2seq,2.574580344286832,0.0,deepOF_L2_seq2seq,1.2281064228578047,0.0,deepLOB_L1_seq2seq,2.1482137008146807,0.0,deepOF_L1_seq2seq,1.8706288066777317,0.0
 ,deepOF_L1_seq2seq,1.8780875531109897,0.0,deepLOB_L2_seq2seq,1.1990895704789595,0.0,deepOF_L2_seq2seq,1.2104925025593152,0.0,deepLOB_L2_seq2seq,1.1797049045562744,0.0
 ,deepLOB_L2_seq2seq,1.2098375125364824,0.0,deepOF_L1_seq2seq,1.4589198177511042,0.15,deepOF_L1_seq2seq,1.6429171345450662,0.0,deepOF_L2_seq2seq,1.195324789394032,0.0
 ,deepOF_L2_seq2seq,1.25460684299469,0.0,deepLOB_L1,1.1201034134084529,0.22,deepLOB_L2_seq2seq,1.1898152069611982,0.0,deepLOB_L1_seq2seq,1.1986968192187222,0.0
 ,deepLOB_L1,1.0976382277228616,0.0,deepLOB_L2,1.1215134208852595,0.22,deepLOB_L1,1.1169606338847766,0.0,deepLOB_L1,1.1226960962468928,0.0
 ,deepLOB_L2,1.0828561566092751,0.0,deepLOB_L1_seq2seq,1.1878840110518716,0.22,deepLOB_L2,1.1210236657749524,0.0,deepLOB_L2,1.110740910876881,0.0
 ,benchmark,1.0933593574831073,0.0,deepOF_L1,1.0977333784103394,0.22,deepVOL_L2,1.0987198786302046,0.86,deepVOL_L2,1.1196198896928267,0.08
 ,deepOF_L1,1.089807477864352,0.0,benchmark,1.0993763725956258,0.4,deepOF_L2,1.0980383591218428,0.86,deepOF_L2,1.1066501574082808,0.31
 ,deepVOL_L3_seq2seq,1.0689369440078735,0.0,deepVOL_L2,1.095339991829612,0.4,deepVOL_L3,1.0944793007590554,0.86,deepVOL_L3_seq2seq,1.0992587804794312,0.71
 ,deepVOL_L2_seq2seq,1.0566957918080417,0.12,deepOF_L2,1.0845807682384143,0.8,deepOF_L1,1.0949477607553655,0.86,deepVOL_L2_seq2seq,1.0997800827026367,0.84
 ,deepOF_L2,1.0500495000319048,0.19,deepVOL_L3,1.083771217953075,0.8,benchmark,1.0975709247065626,0.86,deepVOL_L3,1.0979472182013772,0.84
 ,deepVOL_L2,1.0444084839387373,0.19,deepVOL_L3_seq2seq,1.0801809267564253,0.8,deepVOL_L3_seq2seq,1.0886286930604414,0.98,benchmark,1.0974462294402973,0.84
 ,deepVOL_L3,1.0389317165721546,1,deepVOL_L2_seq2seq,1.0774124969135632,1,deepVOL_L2_seq2seq,1.088404362851923,1,deepOF_L1,1.0951808149164373,1
CHTR,deepVOL_L2,,0.0,deepVOL_L2,,0.0,deepVOL_L2,,0.0,deepVOL_L2,,0.0
 ,deepVOL_L3,,0.0,deepVOL_L3,,0.0,deepVOL_L3,,0.0,deepVOL_L3,,0.0
 ,deepVOL_L2_seq2seq,,0.0,deepVOL_L2_seq2seq,,0.0,deepVOL_L2_seq2seq,,0.0,deepVOL_L2_seq2seq,,0.0
 ,deepVOL_L3_seq2seq,,0.0,deepVOL_L3_seq2seq,,0.0,deepVOL_L3_seq2seq,,0.0,deepVOL_L3_seq2seq,,0.0
 ,deepOF_L1_seq2seq,2.3395165530118076,0.0,deepOF_L1_seq2seq,2.3486456220800225,0.0,deepOF_L1_seq2seq,2.3109887079759077,0.0,deepOF_L1_seq2seq,2.375200878490101,0.0
 ,deepLOB_L1_seq2seq,2.9213261821053247,0.0,deepLOB_L2,1.1176343614404851,0.0,deepLOB_L1_seq2seq,2.297225507822904,0.0,deepLOB_L1,1.1178912357850508,0.05
 ,deepOF_L2_seq2seq,1.1290813250975176,0.02,deepLOB_L1,1.113968469879844,0.0,deepOF_L2_seq2seq,1.1266548416831277,0.08,deepLOB_L2,1.1182571649551392,0.05
 ,deepLOB_L1,1.115179647098888,0.02,deepOF_L2_seq2seq,1.1257605444301257,0.0,deepLOB_L2,1.1155847744508223,0.08,deepOF_L2_seq2seq,1.1290645057504827,0.07
 ,deepLOB_L2,1.1099592447280884,0.02,deepLOB_L2_seq2seq,1.1202043186534534,0.01,deepLOB_L1,1.10916729406877,0.08,deepLOB_L2_seq2seq,1.121553041718223,0.16
 ,deepLOB_L2_seq2seq,1.12195547060533,0.02,benchmark,1.0983187515122212,0.01,deepLOB_L2_seq2seq,1.1199827627702192,0.08,benchmark,1.0990277728352518,0.85
 ,benchmark,1.0984469574587998,0.02,deepOF_L2,1.0865671634674072,0.1,benchmark,1.0986468955819446,0.08,deepLOB_L1_seq2seq,1.0996001308614558,0.85
 ,deepOF_L2,1.080317410555753,0.5,deepOF_L1,1.0852023471485486,0.11,deepOF_L2,1.0927076773210005,0.08,deepOF_L2,1.097138437357816,0.85
 ,deepOF_L1,1.0780659372156316,1,deepLOB_L1_seq2seq,1.0492083863778547,1,deepOF_L1,1.0882872126319192,1,deepOF_L1,1.0946278030222112,1
PCAR,deepLOB_L1_seq2seq,3.082266482439908,0.0,deepOF_L1_seq2seq,2.021390058777549,0.0,deepLOB_L1_seq2seq,2.622974222356623,0.0,deepOF_L1_seq2seq,2.1674961989576165,0.0
 ,deepOF_L1_seq2seq,1.7805722843516956,0.0,deepOF_L2_seq2seq,1.2349673834714023,0.0,deepOF_L1_seq2seq,2.0169497403231533,0.0,deepOF_L2_seq2seq,1.2213653976267034,0.0
 ,deepOF_L2_seq2seq,1.2573693665591152,0.0,deepLOB_L2_seq2seq,1.1806388226422397,0.0,deepOF_L2_seq2seq,1.2239434177225286,0.0,deepLOB_L1_seq2seq,1.2138758464293047,0.0
 ,deepLOB_L2_seq2seq,1.1894716674631292,0.0,deepLOB_L2,1.1209324164824053,0.04,deepLOB_L2,1.1228708895769985,0.0,deepLOB_L2_seq2seq,1.1668816696513782,0.0
 ,deepLOB_L1,1.1051866574720903,0.0,deepLOB_L1,1.124838265505704,0.04,deepLOB_L2_seq2seq,1.1720208363099531,0.0,deepLOB_L1,1.129383152181452,0.0
 ,benchmark,1.0994095842528215,0.0,deepLOB_L1_seq2seq,1.1700731299140237,0.21,deepLOB_L1,1.1288645267486572,0.0,deepLOB_L2,1.1187916777350686,0.0
 ,deepOF_L1,1.0914544734087857,0.0,deepOF_L2,1.0985167568380183,0.21,deepOF_L2,1.1058177514509722,0.14,deepVOL_L2,1.1147615692832253,0.01
 ,deepLOB_L2,1.09298743984916,0.02,deepOF_L1,1.0943541093306108,0.21,deepVOL_L2,1.1030798066746106,0.19,deepVOL_L2_seq2seq,1.1089055104689165,0.29
 ,deepVOL_L2,1.0761052586815574,0.44,benchmark,1.0981758167835496,0.21,deepVOL_L3,1.1000131477009167,0.35,deepOF_L2,1.1061849377372048,0.41
 ,deepVOL_L2_seq2seq,1.0740972757339478,0.44,deepVOL_L2,1.092457576231523,0.21,benchmark,1.098092599781004,0.44,deepVOL_L3,1.1014871380545876,0.77
 ,deepOF_L2,1.0674692392349243,0.94,deepVOL_L2_seq2seq,1.0885566039518877,0.53,deepOF_L1,1.0978961857882412,0.59,deepVOL_L3_seq2seq,1.1019142107530073,0.77
 ,deepVOL_L3_seq2seq,1.0667857365174727,0.94,deepVOL_L3,1.0846965312957764,0.53,deepVOL_L2_seq2seq,1.0965753143483943,0.59,benchmark,1.0985554857024586,0.77
 ,deepVOL_L3,1.0644567121158948,1,deepVOL_L3_seq2seq,1.080112944949757,1,deepVOL_L3_seq2seq,1.0881799134341152,1,deepOF_L1,1.0957546775991267,1
EXC,deepOF_L1_seq2seq,4.167082981629805,0.0,deepOF_L1_seq2seq,3.844251654364846,0.0,deepOF_L1_seq2seq,3.6544412699612705,0.0,deepOF_L1_seq2seq,3.2584459564902564,0.0
 ,deepOF_L2_seq2seq,1.7577170458706943,0.0,deepOF_L2_seq2seq,1.715916861187328,0.0,deepOF_L2_seq2seq,1.659116799181158,0.0,deepLOB_L2_seq2seq,1.553373401815241,0.0
 ,deepLOB_L1_seq2seq,3.9320451563054863,0.0,deepLOB_L2_seq2seq,1.6167634508826516,0.0,deepLOB_L2_seq2seq,1.586779464374889,0.0,deepOF_L2_seq2seq,1.6036473295905374,0.0
 ,deepLOB_L2_seq2seq,1.6249756596305154,0.0,deepLOB_L1_seq2seq,2.310571778904308,0.0,deepLOB_L1_seq2seq,3.0991583954204214,0.0,deepLOB_L1_seq2seq,1.6926824938167224,0.0
 ,deepLOB_L1,0.951699592850425,0.0,deepLOB_L1,1.1532454002987256,0.0,deepLOB_L2,1.0493237918073481,0.0,deepLOB_L2,1.1783579262820156,0.0
 ,deepOF_L1,0.8261137008666992,0.0,deepOF_L1,0.8715585741129789,0.0,deepLOB_L1,1.2047372243621133,0.0,deepLOB_L1,1.2796626524491743,0.0
 ,deepLOB_L2,1.0646576393734326,0.0,deepLOB_L2,1.0298443815924905,0.0,deepOF_L1,0.9066380641677163,0.0,benchmark,1.0191370812148686,0.0
 ,deepVOL_L3_seq2seq,0.7174017808654092,0.13,benchmark,0.8434497154821098,0.0,benchmark,0.9239507455640755,0.0,deepVOL_L3,1.0395035201852971,0.0
 ,benchmark,0.705798236494233,0.13,deepVOL_L3,0.7784652655774896,0.47,deepVOL_L3,0.861085441979495,0.02,deepOF_L1,0.9870622428980741,0.0
 ,deepVOL_L3,0.695430186661807,0.2,deepVOL_L3_seq2seq,0.7671081532131542,0.47,deepVOL_L2_seq2seq,0.8297675739635121,0.38,deepVOL_L2,0.9893223426558755,0.0
 ,deepVOL_L2_seq2seq,0.6813023252920671,0.2,deepVOL_L2_seq2seq,0.7531542723829096,0.47,deepVOL_L3_seq2seq,0.8290530389005487,0.38,deepVOL_L2_seq2seq,0.964464929970828,0.08
 ,deepOF_L2,0.6487746292894537,0.62,deepVOL_L2,0.7494391853159125,0.47,deepVOL_L2,0.8220477591861378,0.38,deepVOL_L3_seq2seq,0.9361808570948514,0.08
 ,deepVOL_L2,0.6380960670384493,1,deepOF_L2,0.7166055928577076,1,deepOF_L2,0.7822481068697843,1,deepOF_L2,0.8849162513559515,1
AAL,deepOF_L1_seq2seq,4.050939018076116,0.0,deepOF_L1_seq2seq,3.5552656650543213,0.0,deepLOB_L1_seq2seq,3.469776012680747,0.0,deepOF_L1_seq2seq,3.01562639799985,0.0
 ,deepLOB_L1_seq2seq,4.3591108972376045,0.0,deepLOB_L1_seq2seq,2.4573199532248755,0.0,deepOF_L2_seq2seq,1.6552516980604692,0.0,deepLOB_L1_seq2seq,1.8209647915580056,0.0
 ,deepLOB_L2_seq2seq,1.321788256818598,0.0,deepLOB_L2_seq2seq,1.3393563465638594,0.0,deepLOB_L2_seq2seq,1.3533891981298274,0.0,deepLOB_L2_seq2seq,1.3591213117946277,0.0
 ,deepOF_L2_seq2seq,1.6346164399927312,0.0,deepOF_L2_seq2seq,1.6527222828431563,0.0,deepOF_L1_seq2seq,3.327531782063571,0.0,deepOF_L2_seq2seq,1.6540354273535989,0.0
 ,deepLOB_L2,1.0323798764835705,0.0,deepLOB_L2,1.1186260743574663,0.0,deepLOB_L1,1.1442715633999219,0.0,deepLOB_L2,1.232845214280215,0.0
 ,deepLOB_L1,1.0500998551195317,0.0,deepLOB_L1,1.1576681191271,0.0,deepLOB_L2,1.061719834804535,0.0,deepLOB_L1,1.2778531096198342,0.0
 ,deepOF_L1,0.8463068170980974,0.0,deepOF_L1,0.9029608802361921,0.0,deepOF_L1,0.9407014575871554,0.01,benchmark,1.0212750961557964,0.0
 ,deepVOL_L3_seq2seq,0.7721014402129434,0.03,benchmark,0.8565060474322141,0.01,benchmark,0.9333044044290268,0.02,deepVOL_L3,1.028479809110815,0.02
 ,deepVOL_L2_seq2seq,0.7482427792115645,0.12,deepVOL_L3_seq2seq,0.8233115889809348,0.15,deepVOL_L3,0.9122143550352617,0.02,deepOF_L1,1.000331374731931,0.02
 ,benchmark,0.7248305747059538,0.71,deepVOL_L2_seq2seq,0.805901516567577,0.38,deepVOL_L3_seq2seq,0.8741015520962802,0.03,deepVOL_L2,0.9783608750863508,0.02
 ,deepVOL_L2,0.7274164720015093,0.71,deepVOL_L2,0.8063450293107466,0.38,deepVOL_L2,0.8783627315001055,0.14,deepVOL_L2_seq2seq,0.9537860696965997,0.1
 ,deepVOL_L3,0.7097835649143566,0.71,deepVOL_L3,0.8110242973674427,0.38,deepVOL_L2_seq2seq,0.8618682351979342,0.14,deepVOL_L3_seq2seq,0.9560724334283308,0.17
 ,deepOF_L2,0.6774142221970991,1,deepOF_L2,0.7318786165931008,1,deepOF_L2,0.8008444688536904,1,deepOF_L2,0.9239955815401945,1
WBA,deepOF_L1_seq2seq,2.5972219597209585,0.0,deepLOB_L2_seq2seq,1.430283318866383,0.0,deepOF_L1_seq2seq,2.177664951844649,0.0,deepLOB_L2_seq2seq,1.389878045428883,0.0
 ,deepLOB_L2_seq2seq,1.4469112808054143,0.0,deepOF_L1_seq2seq,2.4953500682657417,0.0,deepLOB_L2_seq2seq,1.4101229472593828,0.0,deepOF_L1_seq2seq,2.0751195495778862,0.0
 ,deepOF_L2_seq2seq,1.5572341247038408,0.0,deepOF_L2_seq2seq,1.520180344581604,0.0,deepOF_L2_seq2seq,1.4760447307066484,0.0,deepOF_L2_seq2seq,1.432466604492881,0.0
 ,deepLOB_L1_seq2seq,3.1682038849050347,0.0,deepLOB_L1_seq2seq,1.5742800994352861,0.0,deepLOB_L1_seq2seq,2.6032608422366055,0.0,deepLOB_L1,1.2840916243466465,0.0
 ,deepLOB_L1,1.0878551439805464,0.0,deepLOB_L1,1.1741931438446045,0.0,deepLOB_L2,1.164341839877042,0.0,deepLOB_L2,1.211503798311407,0.0
 ,deepOF_L1,0.9971045309847052,0.0,benchmark,1.040486604138181,0.0,deepLOB_L1,1.1971432729200884,0.0,deepLOB_L1_seq2seq,1.2819793224334717,0.0
 ,deepLOB_L2,1.1049389243125916,0.01,deepLOB_L2,1.2022127834233372,0.0,benchmark,1.0800731268988042,0.0,deepOF_L1,1.1099835634231567,0.28
 ,benchmark,0.9392157603766154,0.01,deepOF_L1,1.043833402070132,0.0,deepOF_L1,1.0733338052576238,0.08,deepVOL_L3,1.0966627164320513,0.28
 ,deepVOL_L3_seq2seq,0.9116047674959357,0.01,deepVOL_L3_seq2seq,0.976360407742587,0.15,deepVOL_L3,1.0367157134142788,0.08,benchmark,1.0986079578532577,0.28
 ,deepVOL_L2,0.889160925691778,0.11,deepVOL_L2,0.9701708013361151,0.24,deepVOL_L2,1.0206690430641174,0.57,deepOF_L2,1.0884163108738987,0.28
 ,deepVOL_L2_seq2seq,0.8938732580705122,0.31,deepVOL_L3,0.9687276428396051,0.24,deepVOL_L3_seq2seq,1.018609507517381,0.57,deepVOL_L3_seq2seq,1.0752092328938572,0.66
 ,deepVOL_L3,0.8849185596812855,0.31,deepVOL_L2_seq2seq,0.9597272385250438,0.51,deepOF_L2,1.0151635300029407,0.57,deepVOL_L2,1.068672781640833,0.91
 ,deepOF_L2,0.8693953806703741,1,deepOF_L2,0.9537694345821034,1,deepVOL_L2_seq2seq,1.004906876520677,1,deepVOL_L2_seq2seq,1.0679158026521856,1
ATVI,deepOF_L1_seq2seq,2.8291036865927954,0.0,deepOF_L1_seq2seq,2.5941589962352407,0.0,deepOF_L1_seq2seq,2.7686435742811724,0.0,deepOF_L1_seq2seq,2.61520132151517,0.0
 ,deepLOB_L1_seq2seq,3.5788920250805942,0.0,deepLOB_L2_seq2seq,1.51316528970545,0.0,deepLOB_L1_seq2seq,2.7950766628438775,0.0,deepLOB_L2_seq2seq,1.4697790579362349,0.0
 ,deepLOB_L2_seq2seq,1.5242094018242576,0.0,deepOF_L2_seq2seq,1.5134881409731777,0.0,deepLOB_L2_seq2seq,1.496140956878662,0.0,deepOF_L2_seq2seq,1.4327629262750798,0.0
 ,deepOF_L2_seq2seq,1.544120560992848,0.0,deepLOB_L1_seq2seq,1.7475088943134656,0.0,deepOF_L2_seq2seq,1.4741554802114314,0.0,deepLOB_L1_seq2seq,1.4044743126088923,0.0
 ,deepLOB_L1,1.0338094288652593,0.0,deepLOB_L2,1.1787480549378828,0.0,deepLOB_L2,1.235455946488814,0.0,deepLOB_L2,1.1926286979155107,0.0
 ,deepLOB_L2,0.9910045103593306,0.0,benchmark,1.0599503414577183,0.0,deepLOB_L1,1.139771580696106,0.0,deepLOB_L1,1.1821817268024792,0.0
 ,benchmark,0.9717350362779158,0.0,deepLOB_L1,1.0844885815273633,0.0,benchmark,1.0909085840878143,0.0,deepVOL_L3,1.1264863122593274,0.0
 ,deepOF_L1,0.9922778118740428,0.0,deepOF_L1,1.0478609150106257,0.0,deepOF_L1,1.084704800085588,0.0,deepOF_L1,1.1044317267157815,0.28
 ,deepVOL_L3_seq2seq,0.926728449084542,0.0,deepVOL_L3_seq2seq,0.9906884540211071,0.03,deepVOL_L3,1.0671499371528625,0.03,deepOF_L2,1.1075013442472978,0.28
 ,deepVOL_L2_seq2seq,0.9330420765009794,0.0,deepVOL_L2_seq2seq,0.981639948758212,0.11,deepOF_L2,1.0383088155226274,0.59,benchmark,1.0985524233958648,0.28
 ,deepVOL_L3,0.899992520158941,0.0,deepVOL_L2,0.9786975167014382,0.22,deepVOL_L3_seq2seq,1.037442527034066,0.59,deepVOL_L3_seq2seq,1.0948617295785383,0.28
 ,deepVOL_L2,0.8937325748530301,0.0,deepVOL_L3,0.9729999845678156,0.22,deepVOL_L2,1.0250725637782703,0.59,deepVOL_L2_seq2seq,1.0720737684856763,0.28
 ,deepOF_L2,0.8681906407529657,1,deepOF_L2,0.9621747027743947,1,deepVOL_L2_seq2seq,1.018357428637418,1,deepVOL_L2,1.0594541376287288,1
AAPL,deepOF_L1_seq2seq,2.3600681261582808,0.0,deepOF_L1_seq2seq,2.5286841067400845,0.0,deepLOB_L1_seq2seq,3.5274593396620317,0.0,deepOF_L1_seq2seq,2.6948434981432827,0.0
 ,deepLOB_L1_seq2seq,3.4994139021093194,0.0,deepLOB_L1_seq2seq,1.5375633781606501,0.0,deepOF_L1_seq2seq,2.6142204241319136,0.0,deepLOB_L1_seq2seq,1.5586365244605325,0.0
 ,deepLOB_L2,1.1946910944851963,0.0,deepLOB_L2,1.219870545647361,0.0,deepLOB_L2,1.1992569945075295,0.0,deepLOB_L2,1.2024641036987305,0.0
 ,deepOF_L2_seq2seq,1.262969266284596,0.0,deepOF_L2_seq2seq,1.2359739542007446,0.0,deepLOB_L1,1.1679916706952183,0.0,deepLOB_L2_seq2seq,1.2538967349312522,0.0
 ,deepLOB_L1,1.1713905767960981,0.0,deepLOB_L1,1.160068154335022,0.0,deepLOB_L2_seq2seq,1.2590541406111284,0.0,deepLOB_L1,1.1767181916670366,0.0
 ,deepLOB_L2_seq2seq,1.2623061808672817,0.0,deepLOB_L2_seq2seq,1.2606179172342473,0.0,deepOF_L2_seq2seq,1.2264036807146939,0.0,deepOF_L2_seq2seq,1.2182094942439685,0.0
 ,benchmark,1.1050153052075646,0.0,benchmark,1.0992309622111611,0.0,benchmark,1.0976316800152264,0.5,deepVOL_L3,1.12052630294453,0.0
 ,deepOF_L1,1.0900598114187068,0.0,deepOF_L1,1.0925454551523381,0.22,deepVOL_L3,1.0971368117765947,0.5,deepOF_L2,1.1055976152420044,0.08
 ,deepVOL_L3_seq2seq,1.069865508513017,0.11,deepOF_L2,1.077465675093911,0.48,deepOF_L1,1.09177857095545,0.85,benchmark,1.0958803118904776,0.87
 ,deepVOL_L2_seq2seq,1.048089162869887,0.11,deepVOL_L3_seq2seq,1.0817085938020186,0.48,deepOF_L2,1.0892883972688154,0.85,deepVOL_L2,1.0940568230368874,0.9
 ,deepOF_L2,1.0393434004350142,0.27,deepVOL_L3,1.0727258270437068,0.48,deepVOL_L3_seq2seq,1.0917317000302402,0.85,deepVOL_L3_seq2seq,1.0947859287261963,0.9
 ,deepVOL_L2,1.0291378931565718,0.38,deepVOL_L2_seq2seq,1.067606893452731,0.48,deepVOL_L2_seq2seq,1.0840246352282437,0.85,deepOF_L1,1.088039051402699,0.9
 ,deepVOL_L3,1.0256726850162854,1,deepVOL_L2,1.0602563294497402,1,deepVOL_L2,1.0817865133285522,1,deepVOL_L2_seq2seq,1.0864483443173496,1
